src,irsstub,incrange,variable,value,excel_column,table_description,column_description
17in11si.xls,0,All returns,nret_all,152903231,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,1,No adjusted gross income,nret_all,2030316,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,2,"$1 under $5,000",nret_all,9752106,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,3,"$5,000 under $10,000",nret_all,10789563,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,4,"$10,000 under $15,000",nret_all,11594637,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,5,"$15,000 under $20,000",nret_all,10665270,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,6,"$20,000 under $25,000",nret_all,9983829,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,7,"$25,000 under $30,000",nret_all,8824548,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,8,"$30,000 under $40,000",nret_all,15209009,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,9,"$40,000 under $50,000",nret_all,11915599,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,10,"$50,000 under $75,000",nret_all,20958446,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,11,"$75,000 under $100,000",nret_all,13508353,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,12,"$100,000 under $200,000",nret_all,19951450,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,13,"$200,000 under $500,000",nret_all,6215046,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,14,"$500,000 under $1,000,000",nret_all,1010203,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,15,"$1,000,000 under $1,500,000",nret_all,222611,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,16,"$1,500,000 under $2,000,000",nret_all,90527,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,17,"$2,000,000 under $5,000,000",nret_all,129868,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,18,"$5,000,000 under $10,000,000",nret_all,31628,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,19,"$10,000,000 or more",nret_all,20223,B,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Number of returns
17in11si.xls,0,All returns,agi,11009900155,D,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
17in11si.xls,1,No adjusted gross income,agi,-232238464,D,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
17in11si.xls,2,"$1 under $5,000",agi,25230099,D,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
17in11si.xls,3,"$5,000 under $10,000",agi,81447661,D,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
17in11si.xls,4,"$10,000 under $15,000",agi,145001169,D,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
17in11si.xls,5,"$15,000 under $20,000",agi,186097793,D,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
17in11si.xls,6,"$20,000 under $25,000",agi,224218126,D,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
17in11si.xls,7,"$25,000 under $30,000",agi,242450897,D,"Table 1.1.  All Returns: Selected Income and Tax Items, by Size and Accumulated Size of Adjusted Gross Income",Adjusted gross income less deficit
